hi	sat	en	pack
रुको	ᱛᱟᱸᱜᱤᱭ ᱢᱮ᱾	Wait.	Pack 1 — Basic Classroom Commands 🔴
इंतजार करो	ᱛᱟᱸᱜᱤᱭ ᱢᱮ᱾	Wait.	Pack 1 — Basic Classroom Commands 🔴
अपनी बारी का इंतजार करो	ᱟᱢᱟᱜ ᱯᱟᱹᱨᱤ ᱛᱟᱸᱜᱤᱭ ᱢᱮ᱾	Wait for your turn.	Pack 1 — Basic Classroom Commands 🔴
बीच में मत बोलो	ᱛᱟᱞᱟ ᱨᱮ ᱟᱞᱚᱢ ᱨᱚᱲᱟ᱾	Don't interrupt.	Pack 1 — Basic Classroom Commands 🔴
बात मत करो	ᱟᱞᱚᱢ ᱨᱚᱲᱟ᱾	Don't talk.	Pack 1 — Basic Classroom Commands 🔴
दूसरों को परेशान मत करो	ᱮᱴᱟᱜ ᱦᱚᱲ ᱟᱞᱚᱢ ᱮᱴᱠᱮᱴᱚᱬᱮ ᱠᱚᱣᱟ᱾	Don't disturb others.	Pack 1 — Basic Classroom Commands 🔴
अपनी जगह पर रहो	ᱟᱢᱟᱜ ᱴᱷᱟᱶ ᱨᱮ ᱛᱟᱦᱮᱸᱱ ᱢᱮ᱾	Stay in your seat.	Pack 1 — Basic Classroom Commands 🔴
मेरे साथ आओ	ᱤᱧ ᱥᱟᱶ ᱦᱤᱡᱩᱜ ᱢᱮ᱾	Come with me.	Pack 1 — Basic Classroom Commands 🔴
यहीं रहो	ᱱᱚᱰᱮ ᱛᱟᱦᱮᱸᱱ ᱢᱮ᱾	Stay here.	Pack 1 — Basic Classroom Commands 🔴
लाइन बनाओ	ᱛᱷᱟᱹᱨ ᱵᱮᱱᱟᱣ ᱢᱮ᱾	Form a line.	Pack 1 — Basic Classroom Commands 🔴
गोला बनाओ	ᱜᱩᱞᱟᱹᱭ ᱵᱮᱱᱟᱣ ᱢᱮ᱾	Make a circle.	Pack 1 — Basic Classroom Commands 🔴
मेरे पीछे आओ	ᱤᱧ ᱯᱟᱸᱡᱟᱹᱧ ᱢᱮ᱾	Follow me.	Pack 1 — Basic Classroom Commands 🔴
सुनो और दोहराओ	ᱟᱸᱡᱚᱢ ᱢᱮ ᱟᱨ ᱫᱚᱦᱲᱟᱭ ᱢᱮ᱾	Listen and repeat.	Pack 2 — Teaching Instructions 🔴
मेरे बाद दोहराओ	ᱤᱧ ᱛᱟᱭᱚᱢ ᱛᱮ ᱫᱚᱦᱲᱟᱭ ᱢᱮ᱾	Repeat after me.	Pack 2 — Teaching Instructions 🔴
फिर से कहो	ᱟᱨᱦᱚᱸ ᱢᱮᱱ ᱢᱮ᱾	Say it again.	Pack 2 — Teaching Instructions 🔴
इसे पढ़ो	ᱱᱚᱣᱟ ᱯᱟᱲᱦᱟᱣ ᱢᱮ᱾	Read this.	Pack 2 — Teaching Instructions 🔴
इसे जोर से पढ़ो	ᱱᱚᱣᱟ ᱟᱲᱟᱝ ᱛᱮ ᱯᱟᱲᱦᱟᱣ ᱢᱮ᱾	Read this aloud.	Pack 2 — Teaching Instructions 🔴
वाक्य पढ़ो	ᱟᱹᱭᱟᱹ ᱯᱟᱲᱦᱟᱣ ᱢᱮ᱾	Read the sentence.	Pack 2 — Teaching Instructions 🔴
इसे लिखो	ᱱᱚᱣᱟ ᱚᱞ ᱢᱮ᱾	Write this down.	Pack 2 — Teaching Instructions 🔴
इसे अपनी कॉपी में लिखो	ᱱᱚᱣᱟ ᱟᱢᱟᱜ ᱠᱟᱹᱯᱤ ᱨᱮ ᱚᱞ ᱢᱮ᱾	Write it in your notebook.	Pack 2 — Teaching Instructions 🔴
इसे बोर्ड से लिखो	ᱱᱚᱣᱟ ᱵᱚᱨᱰ ᱠᱷᱚᱱ ᱚᱞ ᱢᱮ᱾	Copy this from the board.	Pack 2 — Teaching Instructions 🔴
उदाहरण देखो	ᱩᱫᱟᱹᱦᱚᱨᱚᱱ ᱠᱚᱭᱚᱜᱽ ᱢᱮ᱾	Look at the example.	Pack 2 — Teaching Instructions 🔴
उदाहरण का पालन करो	ᱩᱫᱟᱹᱦᱚᱨᱚᱱ ᱞᱮᱠᱟ ᱠᱟᱹᱢᱤ ᱢᱮ᱾	Follow the example.	Pack 2 — Teaching Instructions 🔴
अभ्यास पूरा करो	ᱠᱟᱹᱢᱤ ᱯᱩᱨᱟᱹᱣ ᱢᱮ᱾	Complete the exercise.	Pack 2 — Teaching Instructions 🔴
इस प्रश्न को हल करो	ᱱᱚᱣᱟ ᱠᱩᱠᱞᱤ ᱥᱚᱞᱦᱮ ᱢᱮ᱾	Solve this question.	Pack 2 — Teaching Instructions 🔴
प्रश्न का उत्तर दो	ᱠᱩᱠᱞᱤ ᱨᱮᱱᱟᱜ ᱛᱮᱞᱟ ᱮᱢ ᱢᱮ᱾	Answer the question.	Pack 2 — Teaching Instructions 🔴
एक सवाल पूछो	ᱢᱤᱫᱴᱟᱹᱝ ᱠᱩᱠᱞᱤ ᱠᱩᱞᱤᱭ ᱢᱮ᱾	Ask a question.	Pack 2 — Teaching Instructions 🔴
अपने उत्तर की व्याख्या करो	ᱟᱢᱟᱜ ᱛᱮᱞᱟ ᱵᱩᱡᱷᱟᱹᱣ ᱢᱮ᱾	Explain your answer.	Pack 2 — Teaching Instructions 🔴
फिर से कोशिश करो	ᱟᱨᱦᱚᱸ ᱠᱩᱨᱩᱢᱩᱴᱩᱭ ᱢᱮ᱾	Try again.	Pack 2 — Teaching Instructions 🔴
एक बार और कोशिश करो	ᱟᱨ ᱢᱤᱫ ᱫᱷᱟᱣ ᱠᱩᱨᱩᱢᱩᱴᱩᱭ ᱢᱮ᱾	Try once more.	Pack 2 — Teaching Instructions 🔴
ध्यान से पढ़ो	ᱫᱷᱭᱟᱱ ᱛᱮ ᱯᱟᱲᱦᱟᱣ ᱢᱮ᱾	Read carefully.	Pack 2 — Teaching Instructions 🔴
ध्यान से लिखो	ᱫᱷᱭᱟᱱ ᱛᱮ ᱚᱞ ᱢᱮ᱾	Write carefully.	Pack 2 — Teaching Instructions 🔴
साफ-साफ बोलो	ᱥᱟᱯᱷᱟ ᱛᱮ ᱨᱚᱲ ᱢᱮ᱾	Speak clearly.	Pack 2 — Teaching Instructions 🔴
ज़ोर से बोलो	ᱪᱮᱛᱟᱱ ᱟᱲᱟᱝ ᱛᱮ ᱨᱚᱲ ᱢᱮ᱾	Speak louder.	Pack 2 — Teaching Instructions 🔴
धीरे बोलो	ᱵᱟᱹᱭ-ᱵᱟᱹᱭ ᱛᱮ ᱨᱚᱲ ᱢᱮ᱾	Speak slowly.	Pack 2 — Teaching Instructions 🔴
शांति से काम करो	ᱛᱷᱤᱨ ᱛᱮ ᱠᱟᱹᱢᱤ ᱢᱮ᱾	Work quietly.	Pack 2 — Teaching Instructions 🔴
खुद काम करो	ᱟᱯᱱᱟᱨ ᱛᱮ ᱠᱟᱹᱢᱤ ᱢᱮ᱾	Work on your own.	Pack 2 — Teaching Instructions 🔴
अपने साथी के साथ काम करो	ᱟᱢᱟᱜ ᱜᱟᱛᱮ ᱥᱟᱶ ᱠᱟᱹᱢᱤ ᱢᱮ᱾	Work with your partner.	Pack 2 — Teaching Instructions 🔴
अपना उत्तर जांचो	ᱟᱢᱟᱜ ᱛᱮᱞᱟ ᱯᱚᱨᱠᱷᱟᱭ ᱢᱮ᱾	Check your answer.	Pack 2 — Teaching Instructions 🔴
अपना काम पूरा करो	ᱟᱢᱟᱜ ᱠᱟᱹᱢᱤ ᱢᱩᱪᱟᱹᱫᱽ ᱢᱮ᱾	Finish your work.	Pack 2 — Teaching Instructions 🔴
मुझे अपना काम दिखाओ	ᱤᱧ ᱟᱢᱟᱜ ᱠᱟᱹᱢᱤ ᱩᱫᱩᱜᱟᱹᱧ ᱢᱮ᱾	Show me your work.	Pack 2 — Teaching Instructions 🔴
क्या तुम समझते हो?	ᱟᱢᱮᱢ ᱵᱩᱡᱷᱟᱹᱣ ᱮᱫᱟ?	Do you understand?	Pack 3 — Teacher Questions 🔴
क्या तुम समझ गए?	ᱟᱢᱮᱢ ᱵᱩᱡᱷᱟᱹᱣ ᱠᱮᱫᱟ?	Did you understand?	Pack 3 — Teacher Questions 🔴
क्या यह स्पष्ट है?	ᱱᱚᱣᱟ ᱥᱟᱯᱷᱟ ᱜᱮᱭᱟ?	Is this clear?	Pack 3 — Teacher Questions 🔴
क्या आपका कोई सवाल है?	ᱟᱢᱟᱜ ᱪᱮᱫ ᱠᱩᱠᱞᱤ ᱢᱮᱱᱟᱜᱼᱟ?	Do you have any questions?	Pack 3 — Teacher Questions 🔴
उत्तर क्या है?	ᱛᱮᱞᱟ ᱫᱚ ᱪᱮᱫ ᱠᱟᱱᱟ?	What is the answer?	Pack 3 — Teacher Questions 🔴
उत्तर कौन जानता है?	ᱛᱮᱞᱟ ᱚᱠᱚᱭ ᱮ ᱵᱟᱰᱟᱭᱟ?	Who knows the answer?	Pack 3 — Teacher Questions 🔴
कौन उत्तर देना चाहता है?	ᱚᱠᱚᱭ ᱛᱮᱞᱟ ᱮᱢᱚᱜ ᱮ ᱥᱟᱱᱟᱭᱮᱫᱮᱭᱟ?	Who wants to answer?	Pack 3 — Teacher Questions 🔴
क्या तुम इसका उत्तर दे सकते हो?	ᱟᱢ ᱱᱚᱣᱟ ᱨᱮᱱᱟᱜ ᱛᱮᱞᱟ ᱮᱢ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ?	Can you answer this?	Pack 3 — Teacher Questions 🔴
क्या तुम इसे पढ़ सकते हो?	ᱟᱢ ᱱᱚᱣᱟ ᱯᱟᱲᱦᱟᱣ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ?	Can you read this?	Pack 3 — Teacher Questions 🔴
क्या तुम इसे लिख सकते हो?	ᱟᱢ ᱱᱚᱣᱟ ᱚᱞ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ?	Can you write this?	Pack 3 — Teacher Questions 🔴
क्या तुम इसे हल कर सकते हो?	ᱟᱢ ᱱᱚᱣᱟ ᱥᱚᱞᱦᱮ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ?	Can you solve this?	Pack 3 — Teacher Questions 🔴
क्या तुम इसे समझा सकते हो?	ᱟᱢ ᱱᱚᱣᱟ ᱵᱩᱡᱷᱟᱹᱣ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ?	Can you explain it?	Pack 3 — Teacher Questions 🔴
इसका क्या मतलब है?	ᱱᱚᱣᱟ ᱨᱮᱱᱟᱜ ᱢᱮᱱᱮᱛ ᱫᱚ ᱪᱮᱫ ᱠᱟᱱᱟ?	What does this mean?	Pack 3 — Teacher Questions 🔴
तुमने क्या सीखा?	ᱟᱢ ᱪᱮᱫ ᱮᱢ ᱪᱮᱫ ᱠᱮᱫᱟ?	What did you learn?	Pack 3 — Teacher Questions 🔴
तुम्हें कौन सा हिस्सा समझ नहीं आया?	ᱚᱠᱟ ᱦᱟᱹᱴᱤᱧ ᱵᱟᱢ ᱵᱩᱡᱷᱟᱹᱣ ᱞᱮᱫᱟ?	Which part don't you understand?	Pack 3 — Teacher Questions 🔴
यह उत्तर क्यों है?	ᱱᱚᱣᱟ ᱛᱮᱞᱟ ᱪᱮᱫ ᱞᱟᱹᱜᱤᱫ ᱠᱟᱱᱟ?	Why is this the answer?	Pack 3 — Teacher Questions 🔴
क्या तुम कोई उदाहरण दे सकते हो?	ᱟᱢ ᱢᱤᱫᱴᱟᱹᱝ ᱩᱫᱟᱹᱦᱚᱨᱚᱱ ᱮᱢ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ?	Can you give an example?	Pack 3 — Teacher Questions 🔴
सही उत्तर क्या है?	ᱥᱟᱹᱨᱤ ᱛᱮᱞᱟ ᱫᱚ ᱪᱮᱫ ᱠᱟᱱᱟ?	What is the correct answer?	Pack 3 — Teacher Questions 🔴
इसे कौन समझा सकता है?	ᱱᱚᱣᱟ ᱚᱠᱚᱭ ᱵᱩᱡᱷᱟᱹᱣ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ?	Who can explain this?	Pack 3 — Teacher Questions 🔴
क्या तुम उसे दोबारा दोहरा सकते हो?	ᱟᱢ ᱚᱱᱟ ᱟᱨᱦᱚᱸ ᱢᱮᱱ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ?	Can you repeat that?	Pack 3 — Teacher Questions 🔴
क्या तुम ठीक हो?	ᱟᱢ ᱱᱟᱯᱟᱭ ᱜᱮ ᱢᱮᱱᱟᱢᱟ?	Are you okay?	Pack 4 — Student Support & Encouragement 🔴
क्या हुआ?	ᱪᱮᱫ ᱦᱩᱭ ᱮᱱᱟ?	What happened?	Pack 4 — Student Support & Encouragement 🔴
क्या तुम्हें मदद चाहिए?	ᱟᱢ ᱜᱚᱲᱚ ᱞᱟᱹᱠᱛᱤ ᱢᱮᱱᱟᱜᱼᱟ?	Do you need help?	Pack 4 — Student Support & Encouragement 🔴
क्या मैं आपकी मदद कर सकता हूँ?	ᱤᱧ ᱟᱢᱤᱧ ᱜᱚᱲᱚ ᱣᱟᱢᱟ?	Can I help you?	Pack 4 — Student Support & Encouragement 🔴
मुझे बताओ क्या समझ नहीं आया	ᱤᱧ ᱞᱟᱹᱭᱟᱹᱧ ᱢᱮ ᱪᱮᱫ ᱵᱟᱢ ᱵᱩᱡᱷᱟᱹᱣ ᱞᱮᱫᱟ᱾	Tell me what you don't understand.	Pack 4 — Student Support & Encouragement 🔴
पूछने से मत डरो	ᱠᱩᱞᱤ ᱞᱟᱹᱜᱤᱫ ᱟᱞᱚᱢ ᱵᱚᱛᱚᱨᱚᱜᱼᱟ᱾	Don't be afraid to ask.	Pack 4 — Student Support & Encouragement 🔴
तुम मुझसे पूछ सकते हो	ᱟᱢ ᱤᱧ ᱠᱩᱞᱤ ᱫᱟᱲᱮ ᱭᱟᱹᱧᱟ᱾	You can ask me.	Pack 4 — Student Support & Encouragement 🔴
आराम से समय लो	ᱟᱢᱟᱜ ᱚᱠᱛᱚ ᱦᱟᱛᱟᱣ ᱢᱮ᱾	Take your time.	Pack 4 — Student Support & Encouragement 🔴
चिंता मत करो	ᱟᱞᱚᱢ ᱪᱤᱱᱛᱟᱹᱭᱟ᱾	Don't worry.	Pack 4 — Student Support & Encouragement 🔴
पहले खुद कोशिश करो	ᱞᱟᱦᱟ ᱛᱮ ᱟᱯᱱᱟᱨ ᱛᱮ ᱠᱩᱨᱩᱢᱩᱴᱩᱭ ᱢᱮ᱾	Try it yourself first.	Pack 4 — Student Support & Encouragement 🔴
मैं तुम्हारी मदद करूँगा	ᱤᱧ ᱟᱢᱤᱧ ᱜᱚᱲᱚ ᱣᱟᱢᱟ᱾	I will help you.	Pack 4 — Student Support & Encouragement 🔴
तुम अच्छा कर रहे हो	ᱟᱢ ᱱᱟᱯᱟᱭᱮᱢ ᱠᱟᱹᱢᱤ ᱮᱫᱟ᱾	You are doing well.	Pack 4 — Student Support & Encouragement 🔴
बहुत अच्छा काम	ᱟᱹᱰᱤ ᱱᱟᱯᱟᱭ ᱠᱟᱹᱢᱤ᱾	Good job.	Pack 4 — Student Support & Encouragement 🔴
बहुत बढ़िया	ᱟᱹᱰᱤ ᱵᱮᱥ᱾	Very good.	Pack 4 — Student Support & Encouragement 🔴
शाबाश!	ᱟᱹᱰᱤ ᱱᱟᱯᱟᱭ!	Well done.	Pack 4 — Student Support & Encouragement 🔴
कोशिश करते रहो	ᱠᱩᱨᱩᱢᱩᱴᱩ ᱛᱟᱦᱮᱸᱱ ᱢᱮ᱾	Keep trying.	Pack 4 — Student Support & Encouragement 🔴
हार मत मानो	ᱟᱞᱚᱢ ᱦᱟᱨᱟᱣᱚᱜᱼᱟ᱾	Don't give up.	Pack 4 — Student Support & Encouragement 🔴
तुम यह कर सकते हो	ᱟᱢ ᱱᱚᱣᱟᱢ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ᱾	You can do it.	Pack 4 — Student Support & Encouragement 🔴
अति उत्तम कार्य	ᱟᱹᱰᱤ ᱥᱚᱨᱮᱥ ᱠᱟᱹᱢᱤ᱾	Excellent work.	Pack 4 — Student Support & Encouragement 🔴
यह सही है	ᱱᱚᱣᱟ ᱥᱟᱹᱨᱤ ᱜᱮᱭᱟ᱾	That's correct.	Pack 4 — Student Support & Encouragement 🔴
लगभग सही है	ᱥᱩᱨ ᱥᱩᱯᱩᱨ ᱥᱟᱹᱨᱤ ᱜᱮᱭᱟ᱾	Almost correct.	Pack 4 — Student Support & Encouragement 🔴
आओ मिलकर कोशिश करें	ᱫᱮᱞᱟ ᱢᱤᱫ ᱛᱮ ᱵᱚᱱ ᱠᱩᱨᱩᱢᱩᱴᱩᱭᱟ᱾	Let's try together.	Pack 4 — Student Support & Encouragement 🔴
आपका नाम क्या है?	ᱟᱢᱟᱜ ᱧᱩᱛᱩᱢ ᱫᱚ ᱪᱮᱫ?	What is your name?	Pack 5 — Attendance 🟠
आपका रोल नंबर क्या है?	ᱟᱢᱟᱜ ᱨᱳᱞ ᱱᱚᱢᱵᱚᱨ ᱫᱚ ᱪᱮᱫ?	What is your roll number?	Pack 5 — Attendance 🟠
क्या आप उपस्थित हैं?	ᱟᱢ ᱥᱮᱴᱮᱨ ᱢᱮᱱᱟᱢᱟ?	Are you present?	Pack 5 — Attendance 🟠
नाम पुकारने पर "हाँ" कहें	ᱧᱩᱛᱩᱢ ᱦᱚᱦᱚ ᱨᱮ "ᱦᱮᱸ" ᱢᱮᱱ ᱢᱮ᱾	Say "yes" when I call your name.	Pack 5 — Attendance 🟠
आज कौन अनुपस्थित है?	ᱛᱮᱦᱮᱧ ᱚᱠᱚᱭ ᱵᱟᱹᱱᱩᱜ ᱮᱭᱟ?	Who is absent today?	Pack 5 — Attendance 🟠
क्या कोई अनुपस्थित है?	ᱪᱮᱫ ᱚᱠᱚᱭ ᱦᱚᱸ ᱵᱟᱹᱱᱩᱜ ᱠᱚᱣᱟ?	Is anyone absent?	Pack 5 — Attendance 🟠
तुम अनुपस्थित क्यों थे?	ᱟᱢ ᱪᱮᱫ ᱞᱟᱹᱜᱤᱫ ᱵᱟᱢ ᱦᱮᱡ ᱞᱮᱱᱟ?	Why were you absent?	Pack 5 — Attendance 🟠
क्या तुम कल यहाँ थे?	ᱟᱢ ᱦᱚᱞᱟ ᱱᱚᱰᱮ ᱢᱮᱱᱟᱢ ᱛᱟᱦᱮᱸᱱᱟ?	Were you here yesterday?	Pack 5 — Attendance 🟠
हाज़िरी के लिए यहाँ आओ	ᱦᱟᱡᱽᱨᱤ ᱞᱟᱹᱜᱤᱫ ᱱᱚᱰᱮ ᱦᱤᱡᱩᱜ ᱢᱮ᱾	Come here for attendance.	Pack 5 — Attendance 🟠
अपनी तय जगह पर बैठो	ᱟᱢᱟᱜ ᱴᱷᱟᱶ ᱨᱮ ᱫᱩᱲᱩᱵ ᱢᱮ᱾	Sit in your assigned place.	Pack 5 — Attendance 🟠
कृपया अपने नाम का इंतज़ार करें	ᱫᱟᱭᱟ ᱠᱟᱛᱮ ᱟᱢᱟᱜ ᱧᱩᱛᱩᱢ ᱛᱟᱸᱜᱤᱭ ᱢᱮ᱾	Please wait for your name.	Pack 5 — Attendance 🟠
आपका नाम पुकारा गया है	ᱟᱢᱟᱜ ᱧᱩᱛᱩᱢ ᱦᱚᱦᱚ ᱮᱱᱟ᱾	Your name has been called.	Pack 5 — Attendance 🟠
आपको अनुपस्थित दर्ज किया गया है	ᱟᱢᱟᱜ ᱮᱵᱽᱥᱮᱱᱴ ᱚᱞ ᱮᱱᱟ᱾	You are marked absent.	Pack 5 — Attendance 🟠
मुझे अपना गृहकार्य दिखाओ	ᱤᱧ ᱟᱢᱟᱜ ᱚᱲᱟᱜ ᱠᱟᱹᱢᱤ ᱩᱫᱩᱜᱟᱹᱧ ᱢᱮ᱾	Show me your homework.	Pack 6 — Homework & Assignments 🟠
तुम्हारा गृहकार्य कहाँ है?	ᱟᱢᱟᱜ ᱚᱲᱟᱜ ᱠᱟᱹᱢᱤ ᱚᱠᱟ ᱨᱮ?	Where is your homework?	Pack 6 — Homework & Assignments 🟠
यह गृहकार्य पूरा करो	ᱱᱚᱣᱟ ᱚᱲᱟᱜ ᱠᱟᱹᱢᱤ ᱯᱩᱨᱟᱹᱣ ᱢᱮ᱾	Complete this homework.	Pack 6 — Homework & Assignments 🟠
इसे गृहकार्य के रूप में लिखो	ᱱᱚᱣᱟ ᱚᱲᱟᱜ ᱠᱟᱹᱢᱤ ᱞᱮᱠᱟᱛᱮ ᱚᱞ ᱢᱮ᱾	Write this as homework.	Pack 6 — Homework & Assignments 🟠
आपका गृहकार्य ___ है	ᱟᱢᱟᱜ ᱚᱲᱟᱜ ᱠᱟᱹᱢᱤ ᱫᱚ ___ ᱠᱟᱱᱟ᱾	Your homework is \_\_\_.	Pack 6 — Homework & Assignments 🟠
यह अभ्यास घर पर करो	ᱱᱚᱣᱟ ᱠᱟᱹᱢᱤ ᱚᱲᱟᱜ ᱨᱮ ᱠᱚᱨᱟᱣ ᱢᱮ᱾	Do this exercise at home.	Pack 6 — Homework & Assignments 🟠
कल अपना गृहकार्य लाना	ᱜᱟᱯᱟ ᱟᱢᱟᱜ ᱚᱲᱟᱜ ᱠᱟᱹᱢᱤ ᱟᱹᱜᱩᱭ ᱢᱮ᱾	Bring your homework tomorrow.	Pack 6 — Homework & Assignments 🟠
अपना असाइनमेंट जमा करो	ᱟᱢᱟᱜ ᱚᱞ-ᱠᱟᱹᱢᱤ ᱡᱚᱢᱟᱭ ᱢᱮ᱾	Submit your assignment.	Pack 6 — Homework & Assignments 🟠
असाइनमेंट पूरा करो	ᱚᱞ-ᱠᱟᱹᱢᱤ ᱯᱩᱨᱟᱹᱣ ᱢᱮ᱾	Complete the assignment.	Pack 6 — Homework & Assignments 🟠
अपना गृहकार्य मत भूलना	ᱟᱢᱟᱜ ᱚᱲᱟᱜ ᱠᱟᱹᱢᱤ ᱟᱞᱚᱢ ᱦᱤᱲᱤᱧᱟ᱾	Don't forget your homework.	Pack 6 — Homework & Assignments 🟠
इसे कल से पहले खत्म करो	ᱱᱚᱣᱟ ᱜᱟᱯᱟ ᱞᱟᱦᱟ ᱨᱮ ᱢᱩᱪᱟᱹᱫᱽ ᱢᱮ᱾	Finish this before tomorrow.	Pack 6 — Homework & Assignments 🟠
जमा करने से पहले अपना काम जांच लें	ᱡᱚᱢᱟ ᱞᱟᱦᱟ ᱨᱮ ᱟᱢᱟᱜ ᱠᱟᱹᱢᱤ ᱧᱮᱞ-ᱯᱚᱨᱠᱷᱟᱭ ᱢᱮ᱾	Check your work before submitting it.	Pack 6 — Homework & Assignments 🟠
तुमने अपना गृहकार्य पूरा नहीं किया है	ᱟᱢ ᱟᱢᱟᱜ ᱚᱲᱟᱜ ᱠᱟᱹᱢᱤ ᱵᱟᱢ ᱯᱩᱨᱟᱹᱣ ᱠᱟᱫᱟ᱾	You have not completed your homework.	Pack 6 — Homework & Assignments 🟠
आप इसे कल पूरा कर सकते हैं	ᱟᱢ ᱱᱚᱣᱟ ᱜᱟᱯᱟᱢ ᱯᱩᱨᱟᱹᱣ ᱫᱟᱲᱮ ᱭᱟᱜᱼᱟ᱾	You can complete it tomorrow.	Pack 6 — Homework & Assignments 🟠
दो-दो के समूह बनाओ	ᱵᱟᱨ ᱦᱚᱲ ᱠᱟᱛᱮ ᱫᱚᱞ ᱵᱮᱱᱟᱣ ᱯᱮ᱾	Make groups of two.	Pack 7 — Group Activities 🟡
तीन-तीन के समूह बनाओ	ᱯᱮ ᱦᱚᱲ ᱠᱟᱛᱮ ᱫᱚᱞ ᱵᱮᱱᱟᱣ ᱯᱮ᱾	Make groups of three.	Pack 7 — Group Activities 🟡
