en	hi	sat	src	kind	pos	flags	variants
67		᱖᱗	Hembram/OpenDict	word	number		
68		᱖᱘	Hembram/OpenDict	word	number		
69		᱖᱙	Hembram/OpenDict	word	number		
7		᱗	Hembram/OpenDict	word	number		
70		᱗᱐	Hembram/OpenDict	word	number		
71		᱗᱑	Hembram/OpenDict	word	number		
72		᱗᱒	Hembram/OpenDict	word	number		
73		᱗᱓	Hembram/OpenDict	word	number		
74		᱗᱔	Hembram/OpenDict	word	number		
75		᱗᱕	Hembram/OpenDict	word	number		
76		᱗᱖	Hembram/OpenDict	word	number		
77		᱗᱗	Hembram/OpenDict	word	number		
78		᱗᱘	Hembram/OpenDict	word	number		
79		᱗᱙	Hembram/OpenDict	word	number		
8		᱘	Hembram/OpenDict	word	number		
80		᱘᱐	Hembram/OpenDict	word	number		
81		᱘᱑	Hembram/OpenDict	word	number		
82		᱘᱒	Hembram/OpenDict	word	number		
83		᱘᱓	Hembram/OpenDict	word	number		
84		᱘᱔	Hembram/OpenDict	word	number		
85		᱘᱕	Hembram/OpenDict	word	number		
86		᱘᱖	Hembram/OpenDict	word	number		
87		᱘᱗	Hembram/OpenDict	word	number		
88		᱘᱘	Hembram/OpenDict	word	number		
89		᱘᱙	Hembram/OpenDict	word	number		
9		᱙	Hembram/OpenDict	word	number		
90		᱙᱐	Hembram/OpenDict	word	number		
91		᱙᱑	Hembram/OpenDict	word	number		
92		᱙᱒	Hembram/OpenDict	word	number		
93		᱙᱓	Hembram/OpenDict	word	number		
94		᱙᱔	Hembram/OpenDict	word	number		
95		᱙᱕	Hembram/OpenDict	word	number		
96		᱙᱖	Hembram/OpenDict	word	number		
97		᱙᱗	Hembram/OpenDict	word	number		
98		᱙᱘	Hembram/OpenDict	word	number		
99		᱙᱙	Hembram/OpenDict	word	number		
a		ᱮ	GATITOS	word			
a little		ᱠᱟᱛᱤᱡ	GATITOS	word			
a lot		ᱟᱫᱤ ᱜᱟᱱ	GATITOS	word			
a lot of		ᱟᱰᱤᱜᱟᱱ	GATITOS	word			
abandon		ᱵᱟᱛᱤᱞ	GATITOS	word			
abandoned		ᱵᱟᱛᱤᱞᱟᱠᱟᱱ	GATITOS	word			
abide		ᱢᱟᱱᱟᱣ	GATITOS	word			
ability		ᱫᱟᱲᱮ	GATITOS	word			
Abkhazian		ᱟᱹᱵᱠᱷᱟᱡᱤᱭᱟᱹᱱ	Hembram/Glossary	word			
able		ᱞᱮᱠᱢᱟᱱ	GATITOS	word			
about		ᱨᱮᱭᱟᱜ	Hembram/Glossary	word			ᱵᱟᱵᱚᱛ|GATITOS
above		ᱪᱮᱛᱟᱱ	GATITOS	word			
abroad		ᱵᱤᱫᱮᱥ	GATITOS	word			
absence		ᱵᱟᱱᱩᱜ-ᱟ	GATITOS	word		hyphen:1	
absent		ᱵᱟᱱᱩᱜᱮ	GATITOS	word			
absolutely		ᱠᱷᱟᱹᱴᱤ ᱜᱮ	GATITOS	word			ᱮᱠᱟᱞ ᱛᱮ|GATITOS
absorb		ᱥᱮᱞᱮᱫ	GATITOS	word			
abstract		ᱮᱵᱥᱴᱨᱟᱠᱴ	GATITOS	word			
absurd		ᱟᱰᱥᱩᱨᱰ	GATITOS	word			
abundance		ᱵᱟᱹᱲᱛᱤ	GATITOS	word			
abundant		ᱮᱵᱟᱱᱰᱚᱱᱴ	GATITOS	word			
abuse		ᱮᱜᱮᱨ	GATITOS	word			
accent		ᱟᱲᱟᱝ	GATITOS	word			
accept		ᱦᱟᱛᱟᱣ	GATITOS	word			ᱟᱝᱜᱚᱪ|GATITOS
access		ᱜᱷᱟᱛ	GATITOS	word			
accident		ᱜᱷᱚᱴᱚᱱ	GATITOS	word			
accommodation		ᱛᱟᱦᱮᱱ ᱡᱟᱜᱟᱦ	GATITOS	word			ᱚᱲᱟᱜ|GATITOS
accomplish		ᱯᱩᱨᱟᱹᱣ	GATITOS	word			
accomplished		ᱯᱩᱨᱟᱹᱣ	GATITOS	word			
according		ᱞᱮᱠᱟᱛᱮ	GATITOS	word			
account		ᱠᱷᱟᱛᱟ	GATITOS	word			
accuracy		ᱥᱚᱛᱷᱤᱠ	GATITOS	word			
accurate		ᱥᱩᱦᱤ ᱢᱟᱯ	GATITOS	word			
accused		ᱮᱠᱩᱥᱰ	GATITOS	word			
ache		ᱦᱟᱥᱚᱹ	GATITOS	word			ᱦᱟᱥᱚᱹᱦᱪ|GATITOS
achieve		ᱟᱨᱡᱟᱣ	GATITOS	word			
achievement		ᱮᱪᱤᱵᱷᱤᱢᱮᱱᱴ	GATITOS	word			
Achinese		ᱟᱠᱷᱤᱱᱤᱡᱽ	Hembram/Glossary	word			
acknowledge		ᱟᱠᱱᱳᱞᱤᱰᱮᱡᱽ	GATITOS	word			
Acoli		ᱟᱹᱠᱚᱞᱤ	Hembram/Glossary	word			
acquaintance		ᱥᱟᱝᱛᱮᱨᱹᱠᱚ	GATITOS	word			
acquire		ᱧᱟᱢ	GATITOS	word			
acquired		ᱮᱠᱠᱩᱨᱤᱰ	GATITOS	word			
acquisition		ᱮᱠᱤᱩᱥᱴᱥᱮᱥᱱ	GATITOS	word			
across		ᱥᱮᱡᱛᱮ	GATITOS	word			
act		ᱚᱵᱷᱤᱱᱭ	GATITOS	word			
action		ᱠᱟᱢᱤ	GATITOS	word			
active		ᱥᱚᱡᱟᱜ	GATITOS	word			
activities		ᱮᱠᱟᱟᱛᱤᱵᱷᱤᱴᱤᱥ	GATITOS	word			
activity		ᱮᱠᱟᱴᱤᱵᱷᱤᱴᱤ	GATITOS	word			
actor		ᱚᱵᱷᱤᱱᱮᱛᱟ	GATITOS	word			
actual		ᱟᱥᱞᱟᱹ	GATITOS	word			
actually		ᱥᱟᱨᱤ ᱜᱮ	GATITOS	word			
acute		ᱮᱠᱩᱴ	GATITOS	word			
Adangme		ᱟᱹᱰᱟᱱᱜᱢᱮ	Hembram/Glossary	word			
adapt		ᱞᱟᱦᱟ ᱥᱮᱡ	GATITOS	word			
add		ᱢᱮᱥᱟ	GATITOS	word			
addicted		ᱵᱩᱞ	GATITOS	word			
addition		ᱡᱲᱟᱳᱭᱮᱱ	GATITOS	word			
additional		ᱢᱤᱫ-ᱟᱠᱚ	GATITOS	word		hyphen:1	
address		ᱴᱷᱤᱠᱟᱱᱟ	GATITOS	word			ᱴᱟᱸᱣ|GATITOS
adequate		ᱮᱰᱮᱠᱭᱮᱴ	GATITOS	word			
adjacent		ᱮᱰᱡᱟᱥᱮᱱᱴ	GATITOS	word			
Adjective		ᱜᱩᱱᱩᱱ	Hembram/Glossary	word			ᱮᱰᱡᱮᱠᱴᱵ|GATITOS
adjust		ᱥᱟᱯᱲᱟᱣ	GATITOS	word			
Adlam		ᱟᱰᱞᱟᱢ	Hembram/Glossary	word			
admire		ᱥᱟᱨᱦᱟᱣ	GATITOS	word			
admit		ᱢᱟᱱᱟᱳ	GATITOS	word			
adopt		ᱫᱛᱠ	GATITOS	word			
adorable		ᱜᱚᱨᱚᱡᱤᱭᱟᱹ	GATITOS	word			ᱫᱟᱲᱤᱭᱟᱜ|GATITOS
advance		ᱞᱟᱦᱟᱛᱮᱱ	GATITOS	word			ᱟᱜᱟᱢᱤ|GATITOS
advanced		ᱞᱟᱦᱟᱱᱳᱹᱛᱮ	GATITOS	word			
advantage		ᱥᱩᱵᱤᱫᱷᱟ	GATITOS	word			
adventure		ᱮᱰᱵᱷᱮᱱᱪᱟᱨ	GATITOS	word			
adverb		ᱮᱰᱵᱷᱟᱨᱵ	GATITOS	word			
advertisement		ᱮᱫᱵᱷᱟᱨᱴᱟᱤᱥ	GATITOS	word			
advertising		ᱵᱤᱜᱭᱟᱯᱱ	GATITOS	word			
advice		ᱨᱮᱭ	GATITOS	word			
advise		ᱩᱪᱤᱛ ᱠᱟᱛᱷᱟ	GATITOS	word			
advocate		ᱞᱭᱟᱨ	GATITOS	word			
Adyghe		ᱟᱹᱰᱤᱜᱷᱮ	Hembram/Glossary	word			
aesthetic		ᱮᱥᱛᱷᱮᱴᱤᱠ	GATITOS	word			
Afaka		ᱟᱯᱷᱟᱠᱟ	Hembram/Glossary	word			
Afar		ᱟᱹᱯᱷᱟᱹᱨ	Hembram/Glossary	word			
affair		ᱠᱟᱹᱢᱤ	GATITOS	word			
affect		ᱠᱷᱚᱡᱚᱜ	GATITOS	word			
affection		ᱱᱤᱱᱩᱵᱣ	GATITOS	word			
afford		ᱫᱟᱲᱮᱭᱟᱜ	GATITOS	word			
affordable		ᱫᱟᱲᱮᱭᱟ	GATITOS	word			
afraid		ᱵᱚᱛᱚᱨ	GATITOS	word			
Afrihili		ᱟᱹᱯᱷᱨᱤᱦᱤᱞᱤ	Hembram/Glossary	word			
Afrikaans		ᱟᱯᱷᱨᱤᱠᱟᱱᱥ	Hembram/Glossary	word			
after		ᱯᱚᱨᱮ	GATITOS	word			
afternoon		ᱛᱟᱨᱟᱥᱤᱱ	GATITOS	word			
afterwards		ᱚᱱᱟᱹᱯᱚᱨᱮ	GATITOS	word			
again	फिर	ᱫᱚᱦᱚᱲᱟ	GATITOS	word			
against		ᱵᱤᱨᱩᱰ	GATITOS	word			ᱵᱤᱨᱩᱫᱽ ᱨᱮ|GATITOS
age		ᱵᱚᱭᱮᱥ	GATITOS	word			
agency		ᱮᱡᱮᱱᱥᱤ	GATITOS	word			
agent		ᱮᱡᱮᱱᱴ	GATITOS	word			
aggressive		ᱨᱟᱜᱤᱛ	GATITOS	word			
Aghem		ᱟᱜᱷᱮᱢ	Hembram/Glossary	word			
agile		ᱪᱚᱴᱚᱠ	GATITOS	word			
ago		ᱞᱟᱦᱟ ᱛᱮ	GATITOS	word			
agree		ᱟᱸᱜᱚᱪ	GATITOS	word			
agreement		ᱮᱜᱨᱤᱢᱮᱱᱴ	GATITOS	word			
agriculture		ᱪᱟᱥᱵᱟᱥ	GATITOS	word			
ahead		ᱤᱩᱤᱵᱩᱵ	GATITOS	word			
Ahom		ᱟᱹᱦᱚᱢ	Hembram/Glossary	word			
aid		ᱤᱰᱤ	GATITOS	word			
aim		ᱡᱚᱥ	GATITOS	word			
Ainu		ᱟᱭᱱᱩ	Hembram/Glossary	word			
air		ᱦᱚᱭ	GATITOS	word			
airport		ᱩᱰᱟᱹᱱ ᱜᱟᱰᱤ ᱴᱟᱰᱤᱹ	GATITOS	word		longer-than-source	
aisle		ᱟᱮᱞ	GATITOS	word			
Akan		ᱟᱠᱮᱱ	Hembram/Glossary	word			
Akkadian		ᱟᱠᱟᱰᱤᱭᱟᱹᱱ	Hembram/Glossary	word			
Akoose		ᱟᱠᱩᱡᱽ	Hembram/Glossary	word			
Alabama		ᱟᱞᱟᱵᱟᱢᱟ	Hembram/Glossary	word			
alarm		ᱟᱞᱟᱨᱢ	GATITOS	word			
Albanian		ᱟᱞᱵᱟᱱᱤᱭᱟᱹᱱ	Hembram/Glossary	word			
alcohol		ᱯᱳᱨᱚᱹ	GATITOS	word			
alert		ᱟᱛᱮᱱ	GATITOS	word			
Aleut		ᱟᱞᱮᱩᱴ	Hembram/Glossary	word			
Algerian Arabic		ᱟᱞᱡᱮᱨᱤᱭᱟᱹᱱ ᱟᱹᱨᱮᱵᱤᱠ	Hembram/Glossary	word			
alive		ᱵᱟᱱᱪᱟᱳ	GATITOS	word			
all		ᱡᱚᱛᱚ	GATITOS	word			
all right		ᱵᱮᱥ ᱜᱮᱭᱟ	GATITOS	word			
all the best		ᱱᱟᱯᱟᱭ ᱥᱳᱢ ᱢᱮ	GATITOS	word			
allow		ᱟᱝᱜᱚᱡ	GATITOS	word			ᱵᱟᱛᱟᱣ|GATITOS
allowed		ᱜᱟᱱᱚᱟ	GATITOS	word			
almost		ᱞᱚᱜᱵᱷᱚᱜ	GATITOS	word			
alone		ᱮᱥᱠᱟᱨ	GATITOS	word			
along		ᱥᱚᱝᱜᱮ ᱛᱮ	GATITOS	word			
already		ᱯᱟᱦᱤᱞ ᱠᱷᱚᱱ	GATITOS	word			
Alright		ᱛᱷᱤᱠ ᱜᱮᱭᱟ	GATITOS	word			
also		ᱟᱨ ᱦᱚᱸ	GATITOS	word			
alternative		ᱵᱚᱫᱚᱟᱹ	GATITOS	word			
although		ᱢᱮᱱᱠᱷᱟᱱ	GATITOS	word			
always		ᱡᱟᱣᱜᱮ	GATITOS	word			
am		ᱫᱚ	GATITOS	word			ᱠᱟᱹᱱᱟᱹᱧ|GATITOS
amazing		ᱦᱟᱦᱟᱲᱟ	GATITOS	word			
ambiguous		ᱮᱢᱵᱤᱜᱟᱥ	GATITOS	word			
ambition		ᱤᱪᱟ	GATITOS	word			
ambitious		ᱩᱫᱽᱜᱟᱹᱣ	GATITOS	word			
amend		ᱮᱢᱮᱱᱹᱰ	GATITOS	word			
America		ᱟᱢᱮᱨᱤᱠᱟ	Hembram/Glossary	word			
American English		ᱟᱢᱮᱨᱤᱠᱟᱱ ᱟᱝᱜᱽᱨᱮᱡᱤ	Hembram/Glossary	word			
American Sign Language		ᱟᱹᱢᱮᱨᱤᱠᱟᱹᱱ ᱪᱤᱱᱦᱟᱹ ᱯᱟᱹᱨᱥᱤ	Hembram/Glossary	word			
Amharic		ᱟᱹᱢᱦᱟᱹᱨᱤᱠ	Hembram/Glossary	word			
amid		ᱟᱢᱤᱰ	GATITOS	word			
among		ᱛᱟᱞᱟᱨᱮ	GATITOS	word			
among us		ᱟᱵᱳ ᱦᱚᱹ	GATITOS	word			
amount		ᱫᱟᱢ	GATITOS	word			
amusing		ᱪᱢᱚᱠᱟᱱ	GATITOS	word			
an		ᱢᱤᱫᱴᱮᱱ	GATITOS	word			
analysis		ᱵᱤᱪᱟᱨ	GATITOS	word			
Anatolian Hieroglyphs		ᱟᱱᱟᱴᱚᱞᱤᱭᱟᱹᱱ ᱦᱟᱭᱨᱚᱡᱷᱟᱞᱠᱟᱣ	Hembram/Glossary	word			
ancestors		ᱯᱟᱛᱷᱟᱢ ᱠᱚ	GATITOS	word			
anchor		ᱟᱝᱠᱚᱨ	GATITOS	word			
ancient		ᱥᱮᱫᱟᱹᱭ	GATITOS	word		repaired:1	ᱫᱷᱟᱠᱟ|GATITOS
Ancient Egyptian		ᱥᱮᱫᱟᱭ ᱤᱡᱤᱯᱴᱤᱭᱟᱹᱱ	Hembram/Glossary	word			
Ancient Greek		ᱥᱮᱫᱟᱭ ᱜᱽᱨᱤᱠ	Hembram/Glossary	word			
and		ᱟᱨ	Hembram/Glossary	word			
and you		ᱟᱨ ᱟᱢ	GATITOS	word			
angel		ᱵᱚᱝᱜᱟ ᱠᱩᱨᱤ	GATITOS	word			
anger		ᱚ	Hembram/Glossary	word			ᱨᱟᱜᱟᱛ|GATITOS
Angika		ᱟᱹᱝᱜᱤᱠᱟ	Hembram/Glossary	word			
angle		ᱠᱚᱲ	GATITOS	word			
angry		ᱨᱟᱹᱜᱤ	GATITOS	word			ᱨᱟᱝᱜᱟᱣ|GATITOS
animal		ᱡᱤᱭᱟᱹᱞᱤ	GATITOS	word			
ankle		ᱤᱰᱤ	GATITOS	word			
anniversary		ᱥᱮᱨᱢᱟ ᱯᱩᱨᱟᱹᱣ	GATITOS	word			
announcement		ᱮᱛᱚᱦᱚᱵ	GATITOS	word			
annoy		ᱵᱮᱡᱟᱨ	GATITOS	word			
annoyed		ᱵᱤᱨᱠᱛᱳ	GATITOS	word			
annoying		ᱟᱲᱤᱥ	GATITOS	word			
annual		ᱵᱟᱛᱥᱤᱨᱤᱠ	GATITOS	word			
anonymous		ᱵᱟᱝ ᱵᱟᱰᱟᱭᱟᱱ	GATITOS	word			
another		ᱮᱴᱟᱜ	GATITOS	word			
answer		ᱛᱮᱞᱟ	GATITOS	word			
anticipate		ᱯᱚᱴᱚᱢ	GATITOS	word			
anxiety		ᱪᱤᱱᱛᱮ	GATITOS	word			
anxious		ᱪᱤᱱᱛᱮ	GATITOS	word			
any		ᱡᱟᱸᱦᱟᱴᱟᱜ	GATITOS	word			
Any one		ᱡᱟᱦᱟᱸᱭ	Hembram/Glossary	word			
anymore		ᱟᱫ ᱵᱟᱝ	GATITOS	word			
anyone		ᱚᱠᱭᱹᱦ	GATITOS	word			
anything		ᱡᱟᱦᱟᱱᱟᱜ ᱜᱮ	GATITOS	word			
anyway		ᱡᱟᱹᱦᱟ ᱞᱮᱠᱟ	GATITOS	word		repaired:1	
anyways		ᱮᱱᱛᱮᱨᱮᱦᱚ	GATITOS	word			
Ao Naga		ᱳ ᱱᱟᱜᱟ	Hembram/Glossary	word			
apart		ᱟᱞᱟᱫᱟ	GATITOS	word			
apartment		ᱚᱲᱟᱹ	GATITOS	word			
apologize		ᱱᱩᱡᱱᱫᱭ	GATITOS	word			
apparent		ᱥᱮᱪᱮᱫᱤᱭᱟᱹ	GATITOS	word			
apparently		ᱢᱮᱱᱠᱷᱟᱱᱛᱮ	GATITOS	word			
appeal		ᱱᱮᱦᱚᱨ	GATITOS	word			
appear		ᱧᱮᱞᱚᱜ	GATITOS	word			
appearance		ᱧᱮᱧᱮᱞ	GATITOS	word			ᱩᱯᱮᱞ|GATITOS
appeared		ᱥᱟᱢᱟᱝ ᱨᱮ ᱥᱮᱴᱮᱨ	GATITOS	word		longer-than-source	
appetite		ᱡᱚᱢ ᱦᱚᱨᱟ	GATITOS	word			
Apple	सेब	ᱥᱮᱣᱚ	Hembram/Category	word	food		ᱟᱯᱮᱞ|GATITOS
application		ᱟᱨᱡᱤ	GATITOS	word			
apply		ᱞᱟᱜᱟᱣ	GATITOS	word			ᱟᱨᱡᱤ|GATITOS
appointment		ᱵᱟᱦᱟᱹᱞᱤ	GATITOS	word		repaired:1	
appreciate		ᱥᱟᱨᱦᱟᱣ	GATITOS	word			
appreciation		ᱥᱟᱨᱦᱟᱳ	GATITOS	word			
approach		ᱪᱮᱥᱴᱟ	GATITOS	word			
appropriate		ᱡᱚᱛᱷᱟᱛ	GATITOS	word			
approval		ᱢᱟᱹᱱᱟᱳ	GATITOS	word			
approve		ᱢᱟᱱᱟᱳ	GATITOS	word			
approved		ᱢᱟᱱᱟᱳ	GATITOS	word			
approximately		ᱲᱛᱤ	GATITOS	word			
April	अप्रैल	ᱮᱯᱨᱤᱞ	Hembram/Category	word	calendar		ᱮᱯᱨᱤᱞ ᱪᱟᱸᱱᱫᱳ|GATITOS
Arabic		ᱟᱹᱨᱵᱤ	Hembram/Glossary	word			
Arabic, Najdi		ᱟᱹᱨᱵᱤ	Hembram/Glossary	word		synonyms:2	ᱱᱟᱹᱡᱽᱫᱤ|Hembram/Glossary
Aragonese		ᱟᱨᱜᱚᱱᱤᱡᱽ	Hembram/Glossary	word			
Aramaic		ᱟᱨᱟᱢᱟᱭᱤᱠ	Hembram/Glossary	word			
Araona		ᱟᱨᱟᱚᱱᱟ	Hembram/Glossary	word			
Arapaho		ᱟᱨᱟᱯᱟᱦᱚ	Hembram/Glossary	word			
Arawak		ᱟᱨᱟᱣᱟᱠ	Hembram/Glossary	word			
arbitrary		ᱟᱨᱵᱤᱴᱟᱨᱤ	GATITOS	word			
architect		ᱟᱨᱠᱤᱴᱮᱠᱴ	GATITOS	word			
architecture		ᱟᱨᱠᱤᱴᱮᱠᱪᱟᱨ	GATITOS	word			
archive		ᱟᱨᱠᱤᱵᱷ	GATITOS	word			
are		ᱠᱚ	Hembram/Glossary	word			ᱫᱚ|GATITOS
are you		ᱟᱢ ᱦᱚ	GATITOS	word			
are you busy		ᱟᱢ ᱠᱟᱹᱢᱤ ᱨᱮᱢ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ	GATITOS	word		longer-than-source	
are you married		ᱟᱢ ᱵᱟᱯᱞᱟ ᱮᱱᱟᱢ	GATITOS	word			
are you married or single		ᱟᱢ ᱵᱟᱯᱞᱟ ᱞᱮᱱᱟᱢ ᱥᱮ ᱵᱟᱯᱞᱟ ᱵᱟᱝ	GATITOS	word			
Are you still there		ᱟᱢ ᱫ ᱱᱤᱛᱦᱹ ᱚᱱᱫᱮᱢᱮᱱᱟᱢᱟ	GATITOS	word			
are you there		ᱟᱢ ᱚᱸᱰᱮ ᱢᱮᱱᱟᱜ ᱟ	GATITOS	word			
area		ᱴᱚᱴᱟ	GATITOS	word			
argument		ᱛᱨᱠᱟ	GATITOS	word			
arise		ᱵᱮᱨᱮᱹ	GATITOS	word			
arm	बाँह	ᱥᱚᱯᱟ	Hembram/Category	word	body		ᱛᱤ|GATITOS
Armenian		ᱟᱨᱢᱮᱱᱤᱭᱟᱹᱱ	Hembram/Glossary	word			
army		ᱯᱷᱟᱹᱫ	GATITOS	word		repaired:1	
Aromanian		ᱟᱨᱚᱢᱟᱱᱤᱭᱟᱹᱱ	Hembram/Glossary	word			
around		ᱣᱨᱩᱱᱯᱷ	GATITOS	word			
Arpitan		ᱟᱨᱯᱤᱴᱟᱱ	Hembram/Glossary	word			
arrange		ᱥᱟᱡᱟᱣ	GATITOS	word			
arrangement		ᱵᱮᱵᱥᱛᱷᱟ	GATITOS	word			
arrival		ᱦᱤᱡᱩᱦ	GATITOS	word			
arrive		ᱦᱮᱡ	GATITOS	word			
arrived		ᱥᱮᱴᱮᱨ	GATITOS	word			
arrogant		ᱜᱚᱨᱚᱵ	GATITOS	word			
arrow		ᱥᱟᱨ	GATITOS	word			
art		ᱦᱩᱱᱟᱹᱨ	GATITOS	word		repaired:1	
article		ᱯᱚᱛᱵ	GATITOS	word			
artificial		ᱟᱨᱴᱤᱯᱷᱤᱥᱤᱭᱟᱞ	GATITOS	word			
artist		ᱮᱱᱮᱡᱤᱭᱟᱹ	GATITOS	word			
Aryo Arag completed it's first anniversary.		ᱟᱭᱳ ᱟᱨᱟᱝ ᱯᱩᱭᱞᱩ ᱥᱮᱨᱢᱟ ᱥᱮᱱᱮᱞᱮᱫ ᱯᱩᱨᱟᱹᱣ ᱮᱱᱟ ᱾	Hembram/Sentences	sentence		longer-than-source	
Aryo Arag completed it's second anniversary.		ᱟᱭᱳ ᱟᱨᱟᱝ ᱫᱚᱥᱟᱨ ᱥᱮᱨᱢᱟ ᱥᱮᱱᱮᱞᱮᱫ ᱯᱩᱨᱟᱹᱣ ᱮᱱᱟ ᱾	Hembram/Sentences	sentence		longer-than-source	
as		ᱞᱮᱠᱟ	GATITOS	word			
as long as		ᱡᱟᱦᱟᱛᱤᱱᱚᱹᱠᱷᱱ	GATITOS	word			
as well		ᱥᱢᱟᱱ ᱜᱮ	GATITOS	word			
as well as		ᱟᱨᱦᱚᱸ	GATITOS	word			
ash		ᱛᱨᱚᱭᱹ	GATITOS	word			
ashamed		ᱞᱟᱡᱟᱦ	GATITOS	word			
ask		ᱠᱩᱞᱤ	GATITOS	word			
asked		ᱠᱩᱞᱤ	GATITOS	word			
asleep		ᱡᱟᱯᱤᱫ	GATITOS	word			
aspect		ᱱᱚᱡᱨ	GATITOS	word			
Ass	गधा	ᱜᱟᱫᱷᱟ	Hembram/Category	word	animal		
Assamese		ᱟᱥᱟᱢᱤᱡᱽ	Hembram/Glossary	word			ᱟᱥᱟᱢᱤᱥ|GATITOS
assault		ᱦᱮᱱᱚᱥᱛᱟ	GATITOS	word			
assembly		ᱥᱮᱴᱮᱨᱠᱟᱱ	GATITOS	word			
assertive		ᱥᱟᱦᱤᱱᱟ	GATITOS	word			
assess		ᱟᱥᱮᱥ	GATITOS	word			
assessment		ᱞᱮᱠᱷᱟᱡᱚᱠᱷᱟ	GATITOS	word			
asset		ᱥᱚᱢᱯᱳᱤ	GATITOS	word			
assets		ᱥᱚᱢᱯᱚᱹᱛᱤ	GATITOS	word			
assign		ᱥᱟᱡᱟᱳ	GATITOS	word			
assignment		ᱠᱟᱹᱢᱤᱵᱷᱟᱨ	GATITOS	word			
assist		ᱜᱚᱲ	GATITOS	word			
assistant		ᱜᱚᱲᱚᱭᱤᱡ	GATITOS	word			
associate		ᱜᱚᱲᱚᱤᱡ	GATITOS	word			
associated		ᱜᱚᱲᱚᱤᱡ	GATITOS	word			
association		ᱜᱟᱚᱛᱟ	GATITOS	word			
assume		ᱚᱱᱢᱟᱱ	GATITOS	word			
assumption		ᱢᱱᱮ ᱦᱭ	GATITOS	word			
Asturian		ᱚᱮᱴᱩᱨᱤᱭᱟᱹᱱ	Hembram/Glossary	word			
Asu		ᱟᱤᱩ	Hembram/Glossary	word			
at		ᱨᱮ	GATITOS	word			
at least		ᱢᱩᱪᱩᱫ ᱨᱮ	GATITOS	word			
ate		ᱡᱚᱢ	GATITOS	word			
